MovieTitle,YouTube Video Title,YouTube Video ID,Views,Likes,Comments,Top 10 Comments
A Wrinkle in Time,A Wrinkle in Time Official US Trailer,UhZ56rcWwRQ,10799722,65106,9386,"I remember reading this book last year and it was one of the best books I've ever read, IT'S SO POWERFUL|, It’s a emotional movie if you’re young and you’ve lost a parent that you were close to.  It made me cry and other people around me when I went to see it in the theater.|, I know many people are saying this movie is terrible, but I thought the movie was absolutely BEAUTIFUL! And yes I've read the book and although not exactly like the book I thought this was a gorgeous interpretation of the book.|, I read this when I was a kid, and now that I'm older and have kids of my own, I am reading it again! I refuse to see the movie until I've finished the book! This looks amazing!|, This movie is awesome. The messages that are conveyed within the movie address self worth and bullying. When the character named Meg doubts herself and wishes to return as someone else the character played by Oprah Winfrey takes Meg by the  shoulders and says ""Do you know how many important events had to  happen in universe leading up to the creation of you."" Meg says ""I never really thought about it that way"". The acting by the children is awesome as well as those who are master's in their field and work side by side with the kids in this movie. I've read some of the comments and all I can say is that the majority of the comments are closed minded. Some comments were regarding so many races being forced into this movie. All I can see is a number of races working together in this movie to try and defeat the evil that they have encountered. Comments were made about Brie Lawson but last time I checked she wasn't in this movie. Just remember folks the kids that made this movie also read these comments and I found it really hard to find positive comments. Leo and Nickie and Precious had some nice comments as well as some others. I'm sure the kids would like that. Much love to all and stay open minded. Don't let the darkness in the world get you down.|, This movie was absolutely beautiful. Yall are saying its terrible but the message is that we need love in the world. The it symbolized the hate and even the negativity people deal with. Meg suffered from low self esteem , facing the it and realizing that she was fine with being herself is the self love part of it all. Everything was beautiful|, No movie can replace a book, so I highly recommend you read the book if you're planning on going to see this.  It's wonderful!|, One of my favorite novels from when I was a kid, I can't believe. Disney finally made it a movie 😍😍😍|, It's already been 3 YEARS? Man. I thank my teacher for reading us the book and ACTUALLY made us go on a fieldtrip to watch it 🥺|, Best movie I’ve seen in ages.  So spiritual with so many life lessons.   So much better than all the violence we see in most movies today.  A Wrinkle in Time was about love, facing our fears and not shutting our emotions off when things get tough.  Very touching.  You can feel it in your soul.  🙂👌❤️🙏"
A Writer's Odyssey,"A Writer&#39;s Odyssey - Official Trailer (2021) Lei Jiayin, Dong Zijian",7Khk9dSEZnA,1571392,12877,400,"Gives me major Sucker Punch vibes with the unapologetically badass fantasy battles. I'm 100% down for this|, Action was Unexpectedly Great. These usually flop hard but damn action choreography was hard to hate.|, nicely done team  enjoyed every bit of it   awsome movie  u all should hurry and finish it|, I was expecting yet another Journey to the West movie, I'm glad to see that it's an original story.|, Really enjoyed the movie.......worth watching.|, Finally, I understand what happened in the trailer.
And yet, the movie was renamed.
Also when many of guys said this looks like a video game + real people, I kinda feel an environment of an Evil Within game too.|, If it can be made realistically with CGI, I really hope that The Three-Body problem can be made in the Chinese hands too!|, thanks for the movie...love it so much|, Liking the trailer, if it turns out anything like Double World, then I will surely watch it.|, Nice movie ,the special effects was also nice"
A.C.O.D.,"A.C.O.D. Official Trailer #1 (2013) - Amy Poehler, Jessica Alba Movie HD",4hRpWVw6fEU,1129066,3380,207,"Amy Poehler and Adam Scott have too much chemistry in just one scene compared to the lack there of with him and Jessica Alba. |, Crazy how much Chemistry Amy Poehler and Adam Scott had at the time this film was made. Love when co-stars are in shows and movies together|, Just looks so weird when Adam and Amy aren't together in a show cause they are so perfect compared to Jessica and Adam |, This is so relatable. This movie is my life, and I loved Adam Scott and Amy Poehler in Parks and Recreation|,  A movie with Adam Scott AND Amy Poehler? Definitely watching.|, This actually looks better than i excepted. Its a real issue in our society, not that im saying all ACOD's end up messed up. Jane Lynch makes it all better and the role rlly suits her|, Leslie Knope is now Ben's step mother.

*mind blown*|, Never heard of this movie until today...wow this cast is amazkng|, this was a super cute movie. extremely acurate on too many levels haha|, Perfect cast! Love it! :D"
Abominable,Abominable (2019) - The Magic Violin Scene (8/10) | Movieclips,chvjkV0jRh8,8474608,142869,0,
About Last Night,Matt Rife | About Last Night,JBRFKOAVnkM,4821,300,69,"https://bit.ly/adamraycomedy|, This is the the best Matt Rife interview I've seen. You can tell that him and Adam are good friends from way back|, Thanks for a greatly timed guest! 

Looking forward to hearing what Matt has to say where I know barely anything about him other than people tried to cancel him (his response was so perfect!) and I hear quite a few comics make fun of him... not sure if they like him or they don't though.|, You're the man Mr. Ray!|, First Kelce, now Rife?! You’re killing it Adam!!! Cheers!|, the two most handsomest in the comedy biz. the meeting of the bodies we all need. what a treat|, T kelce and Matt ,Adams got his timing for guests on 100%|, So cute they held hands the entire time, but weird they never made eye contact|, The never ending story prelude lmaoo|, HeLLLl Yeah!! We need this duo on KT, STAT!"
About Time,About Time Official Trailer #1 (2013) - Rachel McAdams Movie HD,T7A810duHvw,16374951,80845,3878,"I don't know about you guys, but I was more moved by the father-son relationship more than the actual lead relationship. It caught me off guard, and it was so beautiful :)|, This is not the ordinary romantic movies. This movie was simply beautiful. I love how they didn't put a hot muscular guy to play this role. He was an average looking guy. Which I liked even more. I cried so much in the last scene with his dad. It was just so beautiful I can't even put it into words. I am very very glad I watched it. It just shows that every day we should stay positive and enjoy the little things because that is what truly makes us happy.|, This movie is fantastic because it actually depicts a loving, healthy relationship. With so many nicholas sparks movies trying to tell people love is wanting to die for your significant other, and having screaming matches with them before kissing them in the rain, it's beautiful to see a film that shows what real love actually is.|, This movie is not a romance film, cause it's much more than that. It's food for the soul, like reading a great book - one that stays with you for the rest of your life. ❤|, Totally amazed at how good this film actually was. Script was clever, acting brilliant, soundtrack awesome and directing top class. 6'4, built like a house yurt had tears in my eyes at the end. Totally absorbing film.|, What made everything about this film extraordinary, was how the characters are real people. Not in the literal sense of time travelling, but how a simple man had realizations with life and the persons he love are the ones that kept him waking up in the morning. We all have that one reason that keeps us getting up from bed, why and what are the things we live for. Love the film. 

I suddenly love smiling again to strangers. Everyday is a chance to start.|, This movie had an amazing impact on me. This is one of those movies that can literally change your life because the message is so powerful. Time is too precious to be negative and unappreciating. Just wow.|, I'm getting tears in my eyes just remembering this movie. Truly a piece of art. Beautiful and touching.|, I don't usually watch/like romantic films, but this has to be one of my favorite movies. The way it deals with our wishes/emotions is so spot on, and the scene where he's walking with his father on the beach is basically the only thing that makes me cry every time I watch it|, What makes it such a great movie is how it doesn’t follow the standard sequence all movies follow where there is something that changes the life of the protagonist, then a good period, then a really bad period, then happily ever after. This whole movie from start to finish was just happy. I’ve always looked for a movie like that and just found it. The sad parts were never drawn out and everything was addressed and moved on like real life. But the beautiful moments were just that. The happy parts were extraordinarily happy to a point where I was smiling the whole time. To me that’s what made it so great."
Abracadabra,Steve Miller Band - Abracadabra,tY8B0uQpwZs,20978904,261925,5881,"41 years later and this song still rocks.|, Fun fact, this song was a huge worldwide hit in 1982. On the charts, it was a top ten hit in many countries and was a number one hit in eight. In the U.S., “Abracadabra” was a number one hit on the Billboard Hot 100 for two non-consecutive weeks :)|, There's no way I'm the only 25 year old who simply knew this song from growing up. Don't lose faith you older folks there's still some young people out there who have good taste.|, I heat up, I can't cool down
You got me spinning
'Round and 'round
'Round and 'round and 'round it goes
Where it stops nobody knows
Every time you call my name
I heat up like a burning flame
Burning flame full of desire
Kiss me baby, let the fire get higher
Abra abracadabra
I wanna reach out and grab ya
Abra abracadabra
Abracadabra
You make me hot, you make me sigh
You make me laugh, you make me cry
Keep me burning for your love
With the touch of a velvet glove
Abra abracadabra
I wanna reach out and grab ya
Abra abracadabra
Abracadabra
I feel the magic in your caress
I feel magic when I touch your dress
Silk and satin, leather and lace
Black panties with an angel's face
I see magic in your eyes
I hear the magic in your sighs
Just when I think I'm gonna get away
I hear those words that you always say
Abra abracadabra
I wanna reach out and grab ya
Abra abracadabra
Abracadabra
Every time you call my name
I heat up like a burning flame
Burning flame full of desire
Kiss me baby, let the fire get higher
Yeah, yeah
I heat up, I can't cool down
My situation goes 'round and 'round
I heat up, I can't cool down
My situation goes 'round and 'round
I heat up, I can't cool down
My situation goes 'round and 'round
I heat up (I heat up), I can't cool down (can't cool down)
My situation goes 'round and 'round ('round and 'round)
I heat up (I heat up), I can't cool down (can't cool down)
My situation goes 'round and 'round ('round and 'round)
I heat up, I heat up (can't cool, can't cool down)
'Round and 'round|, I've had this song stuck in my head off & on for the last several days. Time to listen on repeat!|, Every time I hear this song, I'm reminded of the time I was 7, and had to skive off from school due to a doctor's appointment. Afterwards, my mother took me to Showbiz Pizza Place for lunch. It was bizzare being serenaded with this song by the Rock-afire Explosion Band in an otherwise empty pizza parlor/arcade. I still remember the gorilla on the keyboards just jamming away while in the background the arcade machines did their thing.|, This song is a classic. I still listen to it in 2020. It doesn't get old|, As a bassist, any song that is driven by the bass, which this one is, is a blast to play.|, This was my jam in my youthful days and now at 50 I still love this❤|, Вот только это-- Оригинал!!! И никаких каверов и перепевок!! Супер !!! 1984 вернулся! Танцуем!!❤❤❤❤❤❤❤💯💢💥💫💫💫💯💯💫💫💫👍👍👍👍👍👍👍👍👍"
Absolutely Fabulous: The Movie,Absolutely Fabulous: The Movie | Official HD Trailer #1 | 2016,Dj3ZWhlmexw,3361812,12726,909,"I'll say it, this movie truly looks Absolutely Fabulous. Can't wait!|, I don't even care if it turns out crap, I know that I'll still love it|, A série era muito boa na época, não perdia um !!!|, What an amazing film! Jennifer Saunders masterly manages to portray a clown's tragedy which is, actually, an art! Very few are able to do it. All the hit lines from the sitcom are here along with the fresh ones, considering the fact the world has changed a little. I enjoyed every every tiny little second of this Movie. Everything is here: the acting, the fashion, the outfits, the music, the fab and sad, the rich and poor... You'll definitely fall for Edina Monsoon and her best friend Patsy Stone again.|, Can't wait to see this! Was a huge fan of the show; kept me laughing the whole time! I love these two . .|, Cannot wait to see this film.  Looks funnier than ever and they don't look any older than when the series was running.  Love Joanna Lumley in everything she does.  Absolutely fabulous lives on. x|, I remember watching the TV series. Absolutely loved it.|, Looks absolutely amazing and fun, can't wait to see it!! :)|, Just watched it! It was absolutely fabulous. Super funny and just like the TV show|, BRILLIANT!... All these years and they still look ""ABSOLUTELY FABULOUS""!!!"
Acrimony,Tyler Perry’s Acrimony (2018 Movie) Official Trailer – Taraji P. Henson,wlpunOUxYSo,6532892,39655,3880,"How does Taraji NOT have an Oscar?!!!!!!!!!!!! She needs to be awarded already!!!!!!|, This movie honestly got to me. It was so heartbreaking for her. The ending made me so angry I was pissed for the rest of the day lmfaoo. But it made me so mad because I felt what she felt before. It’s very heartbreaking. It’s a feeling where you feel like you never can win in life she never got a break. Everything in life was very unfair to her. Sad at the end she never got what she wanted. This movie gives u a life lesson to never make SOMEONE ELSE your top priority. Be happy with yourself before you make someone else happy.|, Taraji Is the best African American crazy actress no one could’ve ever play a part better then her💯|, Ok so I recently watched this and I have to say it's amazing. Don't judge a book by its cover. I thought this would be a typical story but the story she tells of how it all happened is.... Angering. It makes you feel what she felt on a sort of level and the way she turns crazy is different than other stories in my opinion. Just give it a try and you won't regret it.|, This is what happens when you make everything in your life about your significant other. Never lose sight of self.|, I love this movie so much. I loved how you could just feel the intensity of every scene in this film. Neither of the characters were completely right or wrong in their actions but a lot of it felt justified even if unreasonable with both parties. You don’t get too many of these movies nowadays with most having the obviously villian.|, A story about a woman who allows destructive emotions to drive her literally insane. Art imitating life; Indeed. There are women/men out there who can't handle moving on. Their lives are forever attached to that person. The movie had a huge message. So no, it's not one of those predictable stories about cheating. It drives DEEPER. Yes, I would see it again.|, This is a great movie. I’ve read so many bad reviews but this movie has so much emotion that most people don’t understand. There are people who have been in the same predicament and tbh I don’t think people will ever understand this movie if they have not experienced something so devastating and life changing. As I have|, Just watched this movie 2 days ago & all I can say is wow! I had goosebumps the whole time for the simple fact that I could relate to her rage in so many ways, If you're like her or somewhat similar I promise you it will make you think deep, this movie definitely carries a STRONG message & not just one but multiple. this movie is the perfect example of being driven by your emotions. The Judge didn't care about all those years she wasted, he didn't make a decision based on what she testified. In the process of living for her man she lost herself & the more she gave the harder it became for her to restrain.|, I knew I was crazy when I watched this and saw nothing wrong in her actions 😂"
Action Point,Action Point (2018) - Official Trailer - Paramount Pictures,ri1Cc3Yz09U,7505991,38538,2367,"This is in my opinion a very underrated comedy
Very relatable and it’s cool to see Johnny noxvhile as the owner of action point 

As someone who has interest in action park this film resonated with me 
It’s actually one of the better films released in the 2010s 

Yes I liked a raunchy comedy better than an excuse to utilize memberberries to manipulate the audience cough Disney live action remakes cough|, This is the kind of movie that critics will hate, but you’ll love if you’re into people getting hurt.

I recommend:)|, Cool to see Knoxville in a film where he does his own ridiculous stunts and tells a heartfelt story at the same time|, 5/10 on imdb. Should been rated 8. One of the best comedy movies i have seen. It’s easy to make someone cry it’s hard to make a person laugh!|, Johnny is 47 y/o and he still does all his own stuns, getting tossed around like a tennis ball... crazy bastard|, Poo poo on all the critics who thumbs downed Action Point. Just finished watching it. We loved it. This is one we will definitely rewatch throughout the years. The script, the acting, the direction, the cinematography was all excellent. And, sweet Jesus, there are so many killer stunts.  This movie’s following will grow. A perfect family movie for grown up anarchists.|, Jackass and Viva La Bam were my childhood shows. It always feels nice to see Knoxville and the crew still doing new stuff together!|, Hell yeah! This movie looks great. Glad some of the guys (I didn't see everyone) are back doing stunts. These guys are legends! 🤘🏼|, Knoxville’s laugh, the one we all know and miss. You can tell none of them were fake so that’s how you know it’s gonna be a great movie.|, I honestly don’t get the hate behind this movie. It’s not brilliant but it had heart, good story and funny moments. Truly underrated"
Ad Astra,Ad Astra | Official Trailer [HD] | 20th Century FOX,P6AaSMfXHbA,10910853,45480,3077,"Just finished watching Ad Astra, what a fantastic movie that was. Don't pay attention to the negative reviews. It's not the space movie I thought it would be, it was better. Not a ton of action but a fantastic psychological and emotional story that was very well acted. This film will eventually get the attention it deserves.|, Just finished the film, and I definitely say wow to say the least. I was captivated from pretty much start to finish. I feel like it could speak to somebody like me on a deeper sense, which I feel like it did. The visuals, settings, the whole theme was very intriguing. I definitely respect the originality of the film. Definitely underrated, and was a badass film. It's one for a continual film page. Bravo Mr. Pitt and anyone else involved with the film!|, The beauty of this film is something else. The main character Roy doesn’t realize he’s just like his father obsessing over the unknown, obsessing over something he couldn’t see when he should be accepting that whats important is what you have right now in this moment, what made you feel alive, the unknown is the unknown, our future is unknown, what we do there is unknown. Obsession is what blinds you to see the beauty of what is known, that you have a life and you have a home and it’s the thing we can’t lose. Our trauma, our work, our obsessions they all pull us from what’s really right there in front of us the things that’s there to give us life.|, Such an underrated movie. I watched it today and to be honest….out of many sci-fi movies….this is the only movie that has taken me to the “edge of our” solar system. So simple yet so beautiful…|, The same cinematographer behind Interstellar, Let the Right One In, and Dunkirk? Visually, this is going to be fantastic. Can’t wait.|, Very well done film, very well thought out plot, very well acting, cinematography, music, and just about everything else. 
     I've read so many comments of people bashing this movie for being ""boring,"" and for the movie lasting two hours and ""absolutely nothing happening."" < These were the people looking for an action packed/ interstellar esc emotionally compelling movie. This movie is gonna be praised by intellectually advanced film critics, but called boring by young boys looking for another star wars.. 
    >Also I thought the ending was outstanding ! His father's will was gazed upon the stars, while he missed what was right in front of his face. ""We are all we need!!"" 10/10|, This is a serverely underrated movie. It was one of the most unexpectedly beautiful films I ever saw in my life.|, Brad Pitt + an astronaut film. I'm there opening day. It's just great how Pitt continues to star in interesting films year after year. The man is a workhorse and a brilliant actor. Long may he continue.|, Loved the movie tbh, the ending was so cool, loved the twist or lack there of, it’s just a father and son story, and the sound of silence in the universe|, It blows my mind this isn't talked about in the same breath of interstellar and the martian. This film was absolutely incredible with a very powerful message."
Addicted,Enrique Iglesias - Addicted,2M-2BFS6Jxc,46946342,205363,10084,"I grew up listening Enrique songs❤️.... Still connects the vibes better and better😍|, Hands down, the best song by Enrique..and there are a lot of those amazing songs, he was a bit machine back then. One masterpiece after the other.|, 2022, still this song gives goosebumps man...  Evergreen|, Дякую тобі дуже,за таку чудову,прекрасну і ніжну пісню і кліп,коханий мій Енрікусик!Ти мій неймовірний,мій неповторний і мій неперевершений!Кохаю тебе,безмежно,понад усе на світі,цілую тебе ніжно,сонечко моє рідне,і обіймаю міцно!Твоя неповторна,Іннусечка!!!💙💛💋💋💋❤❤❤💓💓💓💔💔💔💕💕💕💖💖💖💗💗💗💞💞💞💋❤|, 2023 and this is still a gem 💎|, 13 Years !!! This song is still a masterpiece and closest to the millennials hearts ❤❤|, Years passed still m not able to get over this song !! Still can feel the same after ages ❤|, 2023 and this song still makes me happy from inside that once I loved someone ❤|, 2024 is about to come and this song still touches my heart. ❤️‍🩹|, I still remember my old memories with this song. what a performance, very beautiful song.❤"
Admission,How College Admissions Work,tLSxdWx535Y,33161588,2048237,10984,"College logic : ""we must discriminate for the sake of diversity""|, *Damn that Spanish was flawless. Good job, Asian guy*|, Irish university, you're not allowed know what gender, age, sexuality or ethnicity a person is when they apply. You're a number only until you rock in the door day one for lectures.|, “Also that’ll be 20,000.”
“Pennies?”
“Dollars.”
“At the end?”
“Each year.”|, My foster daughter, from Sri Lanka, made the mistake of marking her race as Asian on some of her college applications. I recommended she stop doing that, and include a picture with her applications. The rejections stopped. So dumb.|, “Too much poverty”


“Make more poverty so now poverty is average”


“No one is poor now”|, ""So you're not THAT minority ""
Wooow that dude has no chill lol|, I still remember asking why and how my dead mother, and cancer ridden father who couldn’t hold a job anymore made enough money that I couldn’t qualify for financial aid. They refused to answer.|, bro i got rejected from our dream school for being chinese 💀|, “We have too many software engineer majors” absolutely killed me 😂"
Adrift,Adrift Trailer #1 (2018) | Movieclips Trailers,If2lCD0SQrE,4748991,34834,1563,"Just watched this, must admit I didn't know the actors but what an amazing job they did. It was so emotive and the realism hits the heart-strings. I imagine portraying a real life persons trauma is a lot more pressure but Shailene nailed it and as for the real lady-wow what a strong woman! Great film x|, I hope this movie showcases more of Shailene’s acting ability. I’m tired of people judging her just because she was in a young adult franchise|, Ticks all the boxes of what a great film should be. Long takes, great love story without getting cheesy, a fully earned plot twist, and the score is just amazing.|, This movie was amazing. It looked so real unlike many other ocean movies that look ridiculous. I was actually getting sea sick. WOW Beautiful movie about survival, love, and the power of nature. A must see.|, I watched this movie today and the ending just broke me, I  have never cried so much in a theatre that I had to leave.|, A wonderful movie. I am lucky I ve never heard about the real story before. Enjoyed it drastically 😭❤️❤️|, Legit just finished this movie a few mins ago. And it was so amazing. I cried so much but i loved it. ❤|, Ugh just finished this movie.. Kept me invested the whole way through & ofc i cried at the end. The plot twist had my jaw on the ground. I cant imagine going through this. Definitely a good watch.|, I couldn’t stop crying, this is such a tragic story and this movie portrayed it so well.|, Was late to this, but I recently watched it. This is an amazing movie, performed by two amazing leading actors! I say give this movie a go! Was such a beautiful, yet unexpected plot twist."
Adult Beginners,ADULT BEGINNERS - Official Trailer,MSDKkMS78H0,1159198,849,54,"This dramedy was cute all over... I was fully entertained by it-the cast did a fine job as well. =)|, Always cool to see comedians like Nick Kroll stretch their legs into drama, even when it looks like a middling genre exercise that recycles every trope in the indie-dramedy book. I blame the Duplass brothers.|, Bobby Cannavale is sure getting typecast as the husband character. Thank God for Vinyl.|, This movie was great!|, You had me at rose byrne !!!|, I'll watch this just because of Nick Kroll.....even if IMDB gave it a 5 :((|, O my! tHis is where it all begins...again~|, Rose is hot everywhere she plays. I hope she's working more often|, when will he met the girl who will change his perspective on life?|, In case anybody is wondering i dont know the names of the songs played in this trailer"
Afflicted,Afflicted - Official Trailer [HD],PtfSuXbPYUU,568102,2341,181,"To all the people hating on the film because it's found footage, just watch it. The first part you have to kinda sit through but then it gets really good.|, for me the best found footage movie in history. the acting is really natural and authentic and the camera is very well. because of the static cams ( from cliff) you dont have so many ""hectic- bouncy - pls dont get on my nerves"" scenes. I wished the whole time the moovie wouldnt end.
people who liked chonicle will love afflicted.|, I must say, it's hard to find any modern good and original horror found footage films nowadays. But this one....this one surprised me, not only by its imagery but by its originality. Bravo!|, This movie made me think it was real because of how they filmed it. I love this movie 10/10!|, this is a gem...watched again recently and it still has me on the edge of my seat , very cool and creepy movie|, Saw this movie recently, it's really good. I hope we can have more of this.|, Man this film is SICK!  You have to watch it, even though it's found footage, it is so good.|, Really good movie went in a completely different direction than I expected|, I must say, this was an awesome movie.|, la mejor pelicula, veanla por favor, aunque te va a dejar con ganas de que sea infinita, te sorprende de principio a fin."
After,AFTER x MHTRESUNO - BAJO MUNDO [Video Oficial],fO7Q6m7LPKI,32454,5326,320,"👉 DISPONIBLE en TODAS las PLATAFORMAS https://orcd.co/bajo_mundo|, Temporada de dembow 🇦🇷🌎🖤|, Es increible el carisma y la seguridad ante la camara se lleva un 10, para mi.
Obviamente en el estudio se lleva un 11, tiene mucha cancha y mucho que dar.
Estamos ante unos de lo referentes del Dembow de Argentina muchachos! Aprecienlo que este pibe la va a romper fuerte!|, Amigo que calidaaaad, esto esta a otro nivel espero ya llegue el reconocimiento que merecen, mis respetos|, Es el MH baby, AFTER
De la villa para el mundo

Venimos del bajo mundo
Si hay problemas no me escondo 
Venimos del bajo mundo
Si hay problemas no me escondo 
Venimos del bajo mundo
Venimos del bajo mundo

Mami se hace plata todo lo que toco 
La mafia ta conmigo sabe que no me equivoco
Los de afuera no la cazan y dicen que estamos locos
Los malditos controlamos y ahora nos siguen los focos 

Por cómo mato la pista dicen que soy atrevido, 
no perdonamos traiciones ni compramos con dolidos, 
los malditos bendecidos perro sean bienvenidos, 
acá si buscas problema te explotan el domicilio

Suena el rontonton en el calentón 
Envidiosos por la calle se ven un montón 
Les molesta que corone y que tenga el control 
En las malas soy muy frio a mi me dicen señor 

A todo lado que vamos controlamos la zona, 
la gata que a mi me gustan se me acercan solas,
Nos mandamos para al frente la cinta no se nos borra,  
acá si vamos al choke pa’ no andamos con cotorra 

Suena el rontonton en el calentón 
Envidiosos por la calle se ven un montón 
Les molesta que corone y que tenga el control 
En las malas soy muy frio pa los giles un señor 

No queremos empate, ni tampoco ser parte, 
Bajé del avión en el estudio está esperando el AFTER 
Las voces de los demonios me dicen desacatate, 
Mi angelito me bendice a mi me cuida por la calle 

Siempre Me mantuve fuerte, 
siempre supe respetar a la muerte, 
si nos coronamos mami no va ser por suerte, 
después de las misiones solo pienso en comerte, 
y de espaldas ponerte 

yo me considero leal, 
si ayudas a tu familia para mi sos real 
con todos mis malditos listos para triunfar,
ahora estamos bendecidos nos alejamos del mal,   

Venimos del bajo mundo
Venimos del bajo mundo

Dicen que doy la talla, yo voy a ser una estrella
Dónde pocos coronan, yo no pienso bajarle
Dicen que doy la talla, yo voy a ser una estrella
Dónde pocos coronan, yo no pienso bajarle
Aunque me tiente lo malo|, 1:23 el beat es hipnotizante, after la rompió como siempre🥶|, esto no es solo para decir el temazo, es para felicitar a after, amigo te conoci con tutoriales del fl, y mira lo que estas haciendo, te felicito wacho, vas por buen camino, un abrazo <3 <3|, eres un grande after, gran trabajo, eres una de mis más grande inspiraciones, sigue así rompiéndola, tremendo palo|, Un Éxito 🎉💯|, Este Dembow no tiene Explicación🔥🔥🔥🌎🌎"
After Death,After Death | Official Trailer 2 | Angel Studios,Tl4sIZkTZU0,1809075,5836,364,"Thank you for this. My mom experienced this and told the doctor word for word what he said and did as he was trying to save her. She also said Jesus came to her and told her it wasn't her time. She had much to do. Almost 2 decades later, she saved my children. At the time, no one believed her.|, My wife and I saw this movie on opening day. She cried quite a bit because her parents died recently. There were several stories that were especially shocking. Definitely worth seeing.|, This movie was beautifully orchestrated and presented. Praise God!|, Since the sudden and completely unexpected death of my 35 yr old son Karl in October of 2021 my entire thought process on beliefs, religion, and the afterlife is so wide open. I’ve actually been able to capture pretty incredible things on my ring cam.  Most important thing for me and my family is that it brings comfort and peace knowing theres more to this all.|, My father died in his 30s for about 5 minutes.  His great grandmother told him it was not his time and he had to come back.  He finally went home at the age of 55 which is my current age.  He was different when he came back.  He made an extremely positive impact on many young men as a baseball coach after that including me of course.  When he did finally pass, so many of them came to me and told me how much they loved him.
No one should fear death.  My fear is the pain felt by my loved ones when I return home.  They know where we are going but human emotions will still take over as they do for me when I have lost loved ones.|, My aunt suffered a heart attack and her heart stopped for 25 minutes. They revived her. She died again on the way to the hospital for 20 minutes. She was in a coma for 5 months and when she woke up she said she saw herself outside her house, watching while the paramedics worked on her. My grandma (who had died the year before) was with her and kept telling her to get back inside her house. She said she remembers feeling so happy and didn’t want to come back. She had to learn to walk and talk again since she lost a lot of oxygen both times she passed away but she’s getting there day by day.|, This movie was actually pretty amazing!! Very well put together and had me from the 1st min to the end|, I watched it last weekend and IT'S A MUST SEE!!! I'm actually going again with more friends this Friday!!! 🙏🏻🙌🏻❤️

My friend and I just need it to find a movie that wasn't a typical horror film on holloweeen weekend, to take one of our friends to since she was visiting and we all needed a break, so this one came up. I didn't really know what it was about exactly, I didn't watch the trailer prior to. I'm a Christian and all I can say is YES!!! YES!!! YES!!! THE BEST IS YET TO COME POEPLES!!! GOD IS AWESOME!!! AMEN AND AMEN!!! 🙏🏻🙏🏻🙏🏻❤️❤️❤️|, My family and i were lucky enough to see this on opening day, not many people in the theater though.
this is truly a movie that deserves a 10/10, brought me to tears more than i want to admit.|, I can’t wait to see this movie. This movie is going to bring hope to so many people I think."
After Earth,After Earth Official Trailer #1 (2013) - Will Smith Movie HD,CZIt20emgLY,19264988,55585,10725,"Loved this movie. Impacted me when I was learning about the ego and fear being an illusion. It didnt bother me that Will was just guiding him I thought that was cool. Seeing Jaden face threatening beasts and adapting was way better than most films that dont dive to deep into that. Felt like a video game. One of the few movies I'll rewatch again.|, It's a great movie. First time I watched it I didn't like it I think because it was different to what I expected (maybe since I watched pursuit of happiness). Honestly I felt it one of the best movie ever after  watching it again during this pandemic|, I loved this movie! It has such an interesting plot, i must admit, it could have went into bigger obstacles and went onto more challenging ones, also, i have hoped that Jaden in that character would have not been so afraid, but it's satisfying to see him grow until the end when he faced that monster. Either way! I loved the last airbender too!! I don't know why you do not like it, but i do lol. definitely will watch again :)|, “ Your going to have to lay there, for a little bit “ 😭😭😭😭 My Heart as a father man I Love this Movie here in 2023|, I really don't understand all the hate about this movie. It's a lesson of life, I love it and I really learned something from it|, So glad I watched this movie before reading rotten tomatoes reviews and comments here. My kids and I watched this morning and we thoroughly enjoyed it. It had valuable prinicples and life lessons, particularly that danger is real; but fear of danger is an option. Fear can stifle our innermost abilities that would normally flourish when not masked beneath the illusion of fear. A.E. was entertaining and adventurous. And I think both Will and Jayden played their roles damn well. I am now wondering how many good movies I've tainted the opportunity to enjoy based on the strong unison of the opinionated yet easily influenced masses.|, Just went to the cinema and watched this its so good I jumped so many times and it even brought a tear to my eye!|, I really just liked the lesson about fear, and accepting things the way they are. If the science didn't make sense or match up, who gives a damn it was a thrilling, interesting movie with a good lesson- like most Will Smith movies. |, I love this movie. I know people hate on it, but I enjoy it.  It’s a little gem.|, probably one of my fav will smith movies, with his son, zoe kravitz (just adore her), a nice adventure tale, well balanced script and direction, good editing , and the fact that will tapped into the ""the boy is intuitive"" after coms go fubar, i would even dare to say this,
 will become a modern classic movie in a few years... 
because of its simplicity and good taste, a solid movie."
